Date,Open,High,Low,Close,Volume,50MA,200MA,52WH,52WL,%ofL,%ofH,30MAM,30MASD,50MAH,50MAL,Bub,Blb,BBlwratio,BBPrratio,BBratio,Volumem,Volumesd,Volumesdm,1D,VD,v1d,Doji,ShortEMA,LongEMA,MACD,signal,Nan,Calling,EMA50,Callm,Calld,Calld2
2020-03-17,23347.779087344254,23449.22712556168,22001.74396966281,22154.892578125,537700,,,,,,,,,,,,,,,,,,,,,,-1192.8865092192536,22154.892578125,22154.892578125,0.0,0.0,,0.0,22154.892578125,,,
2020-03-18,22411.590120947167,22543.789762173208,20267.71455278669,20579.9609375,875300,,,,,,,,,,,,,,,,,238719.24932857844,,-1574.931640625,-1574.931640625,-1378537665.0390625,-1831.6291834471667,21912.59540264423,22038.23097511574,-125.63557247151039,-25.127114494302077,,-100.50845797720831,22093.13055300245,,-100.50845797720831,-100.50845797720831
2020-03-19,19428.722482375706,21034.805301626086,18675.432445268845,20083.265625,476600,,,,,,,,,,,,,,,,629866.6666666666,281923.4736590765,,-496.6953125,-496.6953125,-236724985.9375,654.543142624294,21631.160052237425,21893.41872695902,-262.2586747215937,-72.55342653976041,,-189.7052481818333,22014.312320531768,-96.73790205301388,-89.19679020462499,-89.19679020462499
2020-03-20,19898.06933028115,20924.307393253996,19264.77591539278,20317.36328125,501800,,,,,,,,,,,,,,,,617900.0,17819.090885900998,179487.27129118532,234.09765625,234.09765625,117470203.90625,419.2939509688513,21429.03747208551,21776.67387912872,-347.63640704321006,-127.57002264045033,,-220.06638440275972,21947.765299383464,-170.09336352060043,-30.361136220926426,-30.361136220926426
2020-03-23,18311.087265181886,18895.430060839364,16790.85499182001,16917.453125,307600,,,,,,,,,,,,,,,,428666.6666666667,137320.13690642753,145687.56715046836,-3399.91015625,-3399.91015625,-1045812364.0625,-1393.6341401818863,20734.947572533896,21416.731601045114,-681.7840285112179,-238.41282381460385,,-443.3712046966141,21750.49815528999,-284.38094576040237,-223.30482029385436,-223.30482029385436
2020-03-24,17705.643420375814,17841.19262310343,16116.062322281537,17107.1015625,391700,,,,,,,,,,,,,,,,400366.6666666667,59467.68029778865,71535.63603003907,189.6484375,189.6484375,74285292.96875,-598.5418578758145,20176.817417144066,21097.499746338068,-920.6823291940018,-374.8667248904835,,-545.8156043035183,21568.40417125901,-403.08439780096404,-102.4443996069042,-102.4443996069042
2020-03-25,16759.754382948584,18739.981362377894,16635.306610931086,18480.8359375,394600,,,,,,,,,,,,,,,,364633.3333333333,2050.609665440988,66279.47562321906,1373.734375,1373.734375,542075584.375,1721.081554551416,19915.897189506515,20903.672797535248,-987.7756080287327,-497.44850151813336,,-490.3271065105993,21447.323064052776,-493.1713051702439,55.48849779291896,55.48849779291896
2020-03-26,18781.63078772216,20409.111826211585,18364.28604076131,19613.671875,482900,,,,,,,,,,,,,,,,423066.6666666667,62437.528778772146,41318.606247333926,1132.8359375,1132.8359375,547046474.21875,832.0410872778411,19869.400987274745,20808.117173643746,-938.7161863690017,-585.702038488307,,-353.0141478806946,21375.415174286,-463.05228623160406,137.3129586299047,137.3129586299047
2020-03-27,20801.357496761237,21462.150586862124,19579.871713963916,19968.767578125,539400,,,,,,,,,,,,,,,,472300.0,39951.533137039936,34813.22386041769,355.095703125,355.095703125,191538622.265625,-832.5899186362367,19884.68815509786,20745.943129531246,-861.2549744333846,-640.8126256773226,,-220.44234875606207,21320.252523456158,-354.59453438245197,132.57179912463255,132.57179912463255
2020-03-30,19254.224971013875,19716.02037388205,18668.481792975384,18782.181640625,327000,,,,,,,,,,,,,,,,449766.6666666667,150189.4803240227,84192.84741327826,-1186.5859375,-1186.5859375,-388013601.5625,-472.0433303888749,19715.071768255882,20600.47931553819,-885.407547282306,-689.7316099983193,,-195.67593728398674,21220.720331972585,-256.3774779735811,24.766411472075333,24.766411472075333
