,Name,Value
0,Open,39442
1,Prev. Close,39132
2,GapOpen,310
3,GapDir,Up
4,High,39691
5,Low,38928
6,High-Low,LowHigh
7,Close,39598
8,Close Gap,466
9,Close Dir,Up
10,Percen,1.2
