,Name,Value
0,3rd Max. CALL OI: 41000.0,41000.0
1,2nd Max. CALL OI: 42000.0,42000.0
2,Max. CALL OI: 41500.0,41500.0
3,Max. CALL unwinding: 39000.0,39000.0
4,Max. CALL writing: 40000.0,40000.0
